SALES.REPORTING.TRANSACTION.REGISTER              ,  JOBS    ,  GSO_OEBS_VWAGSO07        ,  BSP/AUTOMIC         ,  RA             ,           ,7630863, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,                 
WRKF.DAILY.SALES.PROCESSING                       ,  JOBP    ,                           ,  BSP/AUTOMIC         ,                 ,           ,7630948, 2015-01-25 10:30:10, null           ,  Active         ,  <JSCH>         ,330,  CLIENT_QUEUE   ,  6081:59:59     ,                 
SALES.REPORTING.MANAGED.FILE.TRANSFER             ,  JOBF    ,  VWAGSO16                 ,  BSP/AUTOMIC         ,                 ,           ,7630950, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.COMBINE.SALES.FILES               ,  JOBS    ,  VWAGSO16                 ,  BSP/AUTOMIC         ,  Windows        ,           ,7630951, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.DB.LOAD                           ,  JOBS    ,  VWAGSO16.SQL.MSSQL       ,  BSP/AUTOMIC         ,  SQL            ,           ,7630952, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.EXEC.SQL.PROC                     ,  JOBS    ,  VWAGSO16.SQL.MSSQL       ,  BSP/AUTOMIC         ,  SQL            ,           ,7630953, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.ABORT.BY.DESIGN                   ,  JOBS    ,  VWAGSO07                 ,  BSP/AUTOMIC         ,  Unix           ,           ,7630954, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.DB.LIST.SALES                     ,  JOBS    ,  VWAGSO16.SQL.MSSQL       ,  BSP/AUTOMIC         ,  SQL            ,           ,7630955, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
WRKF.STORE.SALES.REPORTING                        ,  JOBP    ,                           ,  BSP/AUTOMIC         ,                 ,           ,7630956, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,                 
SALES.REPORTING.OBIEE.REFRESH                     ,  JOBS    ,  VWAGSO16                 ,  BSP/AUTOMIC         ,  Windows        ,           ,7630957, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.MANAGED.FILE.TRANSFER             ,  JOBF    ,  VWAGSO16                 ,  BSP/AUTOMIC         ,                 ,           ,7636801, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.RECONCILLIATION.REPORT            ,  JOBS    ,  GSO_OEBS_VWAGSO07        ,  BSP/AUTOMIC         ,  RA             ,           ,7636802, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,                 
